candidate_id	event_id	field	reason_codes
hced-Mitla Pass1956-1	hced_label_hced_mitla_pass1956_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Monte Suella1866-1	hced_wave8_garibaldi_hced_monte_suella1866_1	geometry	reviewed_battle_location_mismatch
hced-Montserrat1811-1	hced_label_hced_montserrat1811_1	geometry	country_distribution_outlier_pending_human_review
hced-Montserrat1811-1	hced_label_hced_montserrat1811_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Monzon1809-1	hced_label_hced_monzon1809_1	geometry	country_distribution_outlier_pending_human_review
hced-Monzon1809-1	hced_label_hced_monzon1809_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Nish1809-1	hced_wave8_fast17_hced_nish1809_1	geometry	reviewed_battle_location_mismatch
hced-Noryang1598-1	hced_hced_noryang1598_1	modern_location_country	modern_country_vocabulary_locality_or_compound
hced-O'Connell Street1922-1	hced_wave8_somali_irish_sa_hced_o_connell_street1922_1	geometry	reviewed_battle_location_mismatch
hced-Paardeberg1900-1	hced_label_hced_paardeberg1900_1	modern_location_country	modern_country_vocabulary_locality_or_compound
hced-Pearl Harbour1941-1	hced_hced_pearl_harbour1941_1	geometry	country_distribution_outlier_pending_human_review
hced-Pearl Harbour1941-1	hced_hced_pearl_harbour1941_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Perimeter (2nd)1950-1	hced_hced_perimeter_2nd_1950_1	geometry	country_distribution_outlier_pending_human_review
hced-Perimeter (2nd)1950-1	hced_hced_perimeter_2nd_1950_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Pescadores1885-1	hced_hced_pescadores1885_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Pescadores1895-1	hced_hced_pescadores1895_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Plamam Mapu1965-1	hced_label_hced_plamam_mapu1965_1	modern_location_country	modern_country_vocabulary_malformed_typo
hced-Plum Creek, Nebraska1867-1	hced_wave8_algiers_cheyenne_hced_plum_creek_nebraska1867_1	geometry	reviewed_battle_location_mismatch
hced-Plum Creek, Texas1840-1	hced_wave8_comanche_hced_plum_creek_texas1840_1	geometry	reviewed_battle_location_mismatch
hced-Pork Chop Hill1953-1	hced_hced_pork_chop_hill1953_1	modern_location_country	modern_country_vocabulary_historical_or_ambiguous
hced-Porto Praya1781-1	hced_hced_porto_praya1781_1	geometry	country_distribution_outlier_pending_human_review
hced-Porto Praya1781-1	hced_hced_porto_praya1781_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Pruth1770-1	hced_hced_pruth1770_1	modern_location_country	modern_country_vocabulary_historical_or_ambiguous
hced-Rennell Island1943-1	hced_hced_rennell_island1943_1	geometry	country_distribution_outlier_pending_human_review
hced-Rennell Island1943-1	hced_hced_rennell_island1943_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Reunion1810-1	hced_label_hced_reunion1810_1	modern_location_country	modern_country_vocabulary_locality_or_compound
hced-Riviera1944-1	hced_hced_riviera1944_1	geometry	country_distribution_outlier_pending_human_review
hced-Riviera1944-1	hced_hced_riviera1944_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Rush Springs1858-1	hced_wave8_comanche_hced_rush_springs1858_1	geometry	reviewed_battle_location_mismatch
hced-Rymenant1578-1	hced_hced_rymenant1578_1	modern_location_country	modern_country_vocabulary_locality_or_compound
hced-Sachon1592-1	hced_label_hced_sachon1592_1	modern_location_country	modern_country_vocabulary_historical_or_ambiguous
hced-Sachon1598-1	hced_hced_sachon1598_1	modern_location_country	modern_country_vocabulary_historical_or_ambiguous
hced-Saints1782-1	hced_label_hced_saints1782_1	modern_location_country	source_jurisdiction_mismatch
hced-Salaita1916-1	hced_wave8_somali_irish_sa_hced_salaita1916_1	geometry	reviewed_battle_location_mismatch
hced-Sandfontein1914-1	hced_wave8_somali_irish_sa_hced_sandfontein1914_1	geometry	wrong_same_name_coordinate_reviewed_source
hced-Sandfontein1914-1	hced_wave8_somali_irish_sa_hced_sandfontein1914_1	modern_location_country	reviewed_modern_jurisdiction_mismatch
hced-Santa Rosa Island1861-1	hced_label_hced_santa_rosa_island1861_1	geometry	country_distribution_outlier_pending_human_review
hced-Santa Rosa Island1861-1	hced_label_hced_santa_rosa_island1861_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Sas van Gent1644-1	hced_label_hced_sas_van_gent1644_1	geometry	siege_site_coordinate_mismatch
hced-Sas van Gent1644-1	hced_label_hced_sas_van_gent1644_1	modern_location_country	source_jurisdiction_mismatch
hced-Slaak1631-1	hced_label_hced_slaak1631_1	geometry	battle_waterway_coordinate_mismatch
hced-St Kitts1782-1	hced_hced_st_kitts1782_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-St Kitts1805-1	hced_label_hced_st_kitts1805_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-St Lucia1778-1	hced_hced_st_lucia1778_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-St Lucia1780-1	hced_hced_st_lucia1780_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-St Lucia1794-1	hced_label_hced_st_lucia1794_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-St Lucia1796-1	hced_label_hced_st_lucia1796_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-St Lucia1803-1	hced_label_hced_st_lucia1803_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-St Paul1809-1	hced_label_hced_st_paul1809_1	modern_location_country	modern_country_vocabulary_non_country_geography
hced-Solomon Forks1857-1	hced_wave8_algiers_cheyenne_hced_solomon_forks1857_1	geometry	reviewed_battle_location_mismatch
hced-St Pierre and Miquelon1793-1	hced_label_hced_st_pierre_and_miquelon1793_1	geometry	country_distribution_outlier_pending_human_review
hced-St Pierre and Miquelon1793-1	hced_label_hced_st_pierre_and_miquelon1793_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Tatishchevo1774-1	hced_wave8_cossack_hced_tatishchevo1774_1	geometry	wrong_same_name_coordinate_reviewed_source
hced-Tristan de Cunha1815-1	hced_hced_tristan_de_cunha1815_1	geometry	country_distribution_outlier_pending_human_review
hced-Tristan de Cunha1815-1	hced_hced_tristan_de_cunha1815_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Vaal Kranz1900-1	hced_wave8_fast17_hced_vaal_kranz1900_1	geometry	wrong_same_name_coordinate_reviewed_source
hced-Villa Glori1867-1	hced_wave8_garibaldi_hced_villa_glori1867_1	geometry	reviewed_battle_location_mismatch
hced-Wake1941-1	hced_hced_wake1941_1	geometry	country_distribution_outlier_pending_human_review
hced-Wake1941-1	hced_hced_wake1941_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Walkers Creek1844-1	hced_wave8_comanche_hced_walkers_creek1844_1	geometry	reviewed_battle_location_mismatch
hced-Waynesborough, Georgia1864-1	hced_label_hced_waynesborough_georgia1864_1	geometry	copied_waynesboro_virginia_coordinate
hced-Whitehaven1778-1	hced_hced_whitehaven1778_1	geometry	country_distribution_outlier_pending_human_review
hced-Whitehaven1778-1	hced_hced_whitehaven1778_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Zand1900-1	hced_label_hced_zand1900_1	modern_location_country	modern_country_vocabulary_historical_or_ambiguous
hced-Zhovnyne1638-1	hced_wave8_cossack_hced_zhovnyne1638_1	geometry	reviewed_battle_location_mismatch
